,subject,session,block,trial,difficulty,stim_end,response,rt,stim_onset
255,BE,02,3.0,255.0,20.0,0.5,1.0,0.3711702000000514,1068.61837739998
256,BE,02,3.0,256.0,52.0,0.75,1.0,1.4896201000083238,1071.1155480999732
257,BE,02,3.0,257.0,52.0,5.0,2.0,0.4994602000224404,1074.9816659999778
258,BE,02,3.0,258.0,52.0,3.0,1.0,0.46837349998531863,1082.1214991000015
259,BE,02,3.0,259.0,48.0,0.75,1.0,0.6473761000088416,1087.2265168000013
260,BE,02,3.0,260.0,48.0,3.0,1.0,0.34987889998592436,1090.2437032000162
261,BE,02,3.0,261.0,52.0,5.0,1.0,0.4170167000265792,1095.2024204999907
262,BE,02,3.0,262.0,52.0,3.0,2.0,0.4555231999838725,1102.2529474999756
263,BE,02,3.0,263.0,90.0,0.75,2.0,0.44195419998141006,1107.318351099966
264,BE,02,3.0,264.0,52.0,5.0,1.0,0.4911057999706827,1110.1271264000097
265,BE,02,3.0,265.0,52.0,0.1,2.0,1.1614358999649994,1117.2273299000226
266,BE,02,3.0,266.0,52.0,0.75,2.0,0.5171558999572881,1120.1055192999775
267,BE,02,3.0,267.0,48.0,0.5,1.0,0.3837277000420727,1123.0021347000147
268,BE,02,3.0,268.0,52.0,0.3,2.0,1.3163738999865018,1125.5270146999974
269,BE,02,3.0,269.0,48.0,0.3,1.0,1.2205085000023246,1128.7763728999998
270,BE,02,3.0,270.0,52.0,1.0,1.0,1.5007968000136316,1131.914969299978
271,BE,02,3.0,271.0,80.0,0.5,2.0,0.23947779997251928,1136.0464640000137
272,BE,02,3.0,272.0,10.0,0.3,1.0,0.39936759998090565,1138.4043715000153
273,BE,02,3.0,273.0,48.0,0.75,2.0,0.9320913000265136,1140.7179890999687
274,BE,02,3.0,274.0,52.0,0.3,2.0,0.9081850000075065,1144.0176563999848
275,BE,02,3.0,275.0,48.0,0.3,1.0,0.5383833000087179,1146.863504900015
276,BE,02,3.0,276.0,52.0,1.0,2.0,0.9855304000084288,1149.3150792000233
277,BE,02,3.0,277.0,52.0,0.1,1.0,0.6274562999606133,1152.9137795999995
278,BE,02,3.0,278.0,52.0,3.0,2.0,0.993044100003317,1155.267275399994
279,BE,02,3.0,279.0,52.0,0.5,2.0,0.7428503999835812,1160.8778307000175
280,BE,02,3.0,280.0,48.0,7.0,1.0,0.3887758000055328,1163.7412972999737
281,BE,02,3.0,281.0,52.0,7.0,1.0,1.7498051000293344,1172.7541753000114
282,BE,02,3.0,282.0,52.0,0.5,2.0,1.2150967000052333,1183.1243756000185
283,BE,02,3.0,283.0,52.0,1.0,1.0,0.5075818999903277,1186.450296199997
284,BE,02,3.0,284.0,48.0,0.3,2.0,1.100143699964974,1189.5851222000201
285,BE,02,3.0,285.0,52.0,1.0,2.0,1.1977023999788798,1192.596726000018
286,BE,02,3.0,286.0,52.0,7.0,2.0,0.4019177999580279,1196.4282307999674
287,BE,02,3.0,287.0,52.0,3.0,2.0,0.4765778000000864,1205.465688999975
288,BE,02,3.0,288.0,52.0,0.3,2.0,1.1945940000005066,1210.5739947999828
289,BE,02,3.0,289.0,52.0,0.1,2.0,0.9418362000142224,1213.6893920999719
290,BE,02,3.0,290.0,48.0,3.0,1.0,0.616420799982734,1216.3451275000116
291,BE,02,3.0,291.0,52.0,0.1,2.0,1.4607898999820463,1221.5832398000057
292,BE,02,3.0,292.0,80.0,0.3,2.0,0.402550800004974,1224.7654688999755
293,BE,02,3.0,293.0,48.0,7.0,1.0,0.44387379998806864,1227.080199799966
294,BE,02,3.0,294.0,48.0,5.0,1.0,0.5975622000405565,1236.162021199998
295,BE,02,3.0,295.0,48.0,7.0,1.0,0.4522217999910936,1243.3903047000058
296,BE,02,3.0,296.0,80.0,0.75,2.0,0.7399220999795943,1252.4649323999765
297,BE,02,3.0,297.0,52.0,0.75,2.0,1.0520234000287019,1255.5691997999675
298,BE,02,3.0,298.0,48.0,5.0,1.0,0.6541797000099905,1258.9835584000102
299,BE,02,3.0,299.0,52.0,7.0,2.0,0.4165100999525748,1266.2612858000211
300,BE,02,3.0,300.0,52.0,0.3,2.0,0.5952115999534726,1275.2969353999943
301,BE,02,4.0,301.0,52.0,3.0,1.0,0.4400440999888815,1281.0916487000068
302,BE,02,4.0,302.0,52.0,0.1,2.0,0.7768285000347532,1286.1790651999763
303,BE,02,4.0,303.0,52.0,1.0,1.0,0.7446922999806702,1288.6850937000127
304,BE,02,4.0,304.0,80.0,0.75,2.0,0.3782049000146799,1292.0464552000049
305,BE,02,4.0,305.0,52.0,0.1,2.0,0.8801623999606818,1294.8012307999888
306,BE,02,4.0,306.0,52.0,0.75,1.0,0.5280410000123084,1297.4176194000174
307,BE,02,4.0,307.0,48.0,3.0,1.0,0.4177387999952771,1300.31728139997
308,BE,02,4.0,308.0,52.0,0.1,2.0,0.7177954000071622,1305.3629124999861
309,BE,02,4.0,309.0,48.0,0.3,2.0,1.2069902999792248,1307.8210052999784
310,BE,02,4.0,310.0,48.0,0.75,2.0,0.5548837000387721,1310.9607541000005
311,BE,02,4.0,311.0,48.0,5.0,1.0,0.3847210999811068,1313.892919100006
312,BE,02,4.0,312.0,52.0,5.0,2.0,0.481923499959521,1320.905699199997
313,BE,02,4.0,313.0,48.0,3.0,1.0,0.4639228000305593,1328.0022529999842
314,BE,02,4.0,314.0,52.0,0.5,2.0,0.5710190000245348,1333.1007052999921
315,BE,02,4.0,315.0,52.0,0.5,1.0,0.7435323999961838,1335.7951905999798
